"Name","scanSplit","Encoder_Validation_R2","noDecoder","allScans"
"scansFINALSWEEP_ND_50_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","50","0.8867320075752405","true","true"
"scansFINALSWEEP_ND_50_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","50","0.833331125181224","true","true"
"scansFINALSWEEP_annVAL_50_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","50","0.895161766575618","false","true"
"scansFINALSWEEP_annVAL_50_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","50","0.8915228236307092","false","true"
"scansFINALSWEEP_annNOVAL_50_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","50","0.9038831958111768","false","false"
"scansFINALSWEEP_ND_50_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","50","0.8469746736204287","true","true"
"scansFINALSWEEP_annVAL_50_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","50","0.8995420492739802","false","true"
"scansFINALSWEEP_annNOVAL_50_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","50","0.8744935687220705","false","false"
"scansFINALSWEEP_annNOVAL_50_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","50","0.9049817710115856","false","false"
"scansFINALSWEEP_ND_50_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","50","0.8753245986634557","true","true"
